Underlying Equity's Prices,,,,
Date,Equity 1,Equity 2 ,Equity 3,Equity 4
20-Jan-22,206.1137,270.4762,1003.6012,1003.6011
21-Jan-22,206.0088,270.0266,1003.729,1003.7243
24-Jan-22,205.3124,270.003,992.5302,992.5303
25-Jan-22,205.3528,270.071,990.874,990.8686
26-Jan-22,206.3427,269.7649,994.9661,994.9664
27-Jan-22,206.9786,269.1656,993.9483,993.9491
28-Jan-22,206.5045,268.1242,995.153,995.1609
31-Jan-22,206.7657,267.3444,999.4156,999.4143
01-Feb-22,206.6872,267.3961,1002.9552,1002.9559
02-Feb-22,205.0001,265.7196,1004.778,1004.7797
03-Feb-22,206.8477,267.6374,1012.3523,1012.3519
04-Feb-22,208.2507,268.2359,1021.3817,1021.3817
07-Feb-22,209.1345,268.9148,1023.7124,1023.7074
08-Feb-22,207.8204,269.1396,1013.2527,1013.2513
09-Feb-22,208.8305,269.0756,1023.6478,1023.6521
10-Feb-22,208.3767,269.1292,1027.7428,1027.7347
11-Feb-22,210.2885,268.9606,1025.9897,1025.9847
14-Feb-22,209.3873,268.9048,1030.6474,1030.648
15-Feb-22,207.4779,268.9315,1021.2561,1021.2582
16-Feb-22,206.9752,268.7949,1028.9523,1028.9489
17-Feb-22,205.9977,268.9588,1025.047,1025.0445
18-Feb-22,206.7144,269.0239,1026.3186,1026.311
22-Feb-22,206.7661,268.5725,1038.4442,1038.4434
23-Feb-22,206.9331,268.7722,1038.4581,1038.4582
24-Feb-22,204.5773,267.4661,1049.1912,1049.1839
25-Feb-22,204.9,267.7623,1030.6482,1030.649
28-Feb-22,206.044,266.5691,1049.7208,1049.7272
01-Mar-22,205.3662,265.1722,1092.8045,1092.8039
02-Mar-22,206.062,261.6414,1124.7237,1124.7264
03-Mar-22,205.0429,261.6567,1139.933,1139.9348
