Underlying Equity's Prices,,,,
Date,Equity 1,Equity 2 ,Equity 3,Equity 4
28-May-20,189.5126,265.1883,747.5762,747.5793
29-May-20,189.9322,264.9133,748.151,748.1469
01-Jun-20,190.5297,265.248,749.4807,749.4858
02-Jun-20,189.412,265.3043,748.7607,748.7569
03-Jun-20,188.2452,265.3505,746.5418,746.5385
04-Jun-20,188.6457,265.4668,747.3754,747.3675
05-Jun-20,187.1957,265.559,746.1871,746.1902
08-Jun-20,188.2134,265.723,746.8488,746.8459
09-Jun-20,188.2404,265.8801,747.9301,747.9348
10-Jun-20,188.1422,265.7041,747.7371,747.7355
11-Jun-20,189.4211,265.8524,746.6926,746.6862
12-Jun-20,189.7054,266.1603,748.442,748.4415
15-Jun-20,189.1122,266.2287,749.2354,749.236
16-Jun-20,188.7476,266.3715,749.95,749.9457
17-Jun-20,188.9379,266.1158,749.5905,749.599
18-Jun-20,188.7727,265.9996,749.2933,749.3012
19-Jun-20,189.0337,265.9878,749.3903,749.3946
22-Jun-20,189.0212,266.0025,750.498,750.497
23-Jun-20,189.8433,266.061,750.4709,750.4683
24-Jun-20,190.8257,266.1414,751.3617,751.3595
25-Jun-20,191.1876,266.4596,754.1856,754.1803
26-Jun-20,191.5204,266.51,756.2886,756.2868
29-Jun-20,190.2915,265.6712,750.4159,750.4167
30-Jun-20,190.7244,265.706,749.4955,749.4898
01-Jul-20,189.3884,266.1647,748.3608,748.3669
02-Jul-20,189.5669,265.7571,747.8977,747.8959
06-Jul-20,190.0176,264.8728,748.9154,748.9091
07-Jul-20,190.3618,264.6222,748.126,748.124
08-Jul-20,190.708,264.7551,750.9412,750.9403
09-Jul-20,190.4377,264.6432,749.6356,749.6341
10-Jul-20,190.9504,264.5218,749.3663,749.3651
13-Jul-20,192.3395,264.882,750.3979,750.4066
14-Jul-20,191.8583,265.029,751.0701,751.0659
15-Jul-20,191.4218,264.595,750.6614,750.6604
16-Jul-20,191.3389,264.6742,748.1328,748.1346
17-Jul-20,191.0473,264.7289,749.0823,749.0808
20-Jul-20,192.0471,265.1176,750.3195,750.3155
21-Jul-20,192.9262,264.8102,752.1918,752.1911
22-Jul-20,193.3334,265.0139,753.965,753.9737
23-Jul-20,193.9678,264.4781,754.9104,754.911
24-Jul-20,193.3108,264.4349,756.7323,756.7315
27-Jul-20,194.7782,264.8793,757.9647,757.9634
28-Jul-20,194.6825,264.5378,758.0116,758.0067
29-Jul-20,194.3315,264.3553,759.9685,759.9655
30-Jul-20,193.8379,264.6369,761.3032,761.2984
31-Jul-20,194.5475,264.891,762.9615,762.9588
03-Aug-20,193.9732,263.7898,756.252,756.2529
04-Aug-20,194.9674,263.5484,756.7496,756.7496
05-Aug-20,195.364,263.806,758.8091,758.8056
06-Aug-20,196.8419,264.1137,761.7462,761.7478
07-Aug-20,195.5085,264.0154,756.6574,756.6657
10-Aug-20,196.494,264.1729,757.1736,757.1685
11-Aug-20,193.952,264.053,746.7539,746.7551
12-Aug-20,193.3236,263.8552,745.9445,745.9439
13-Aug-20,193.9231,263.572,746.1619,746.1612
14-Aug-20,193.079,263.0929,742.9621,742.9655
17-Aug-20,194.25,263.2406,744.6942,744.6907
18-Aug-20,194.4503,263.0807,747.8053,747.8087
19-Aug-20,194.0485,262.9522,745.0131,745.0137
20-Aug-20,193.4132,263.337,743.597,743.5922
21-Aug-20,193.1152,263.1141,742.6858,742.6769
24-Aug-20,192.8367,262.9199,740.8922,740.9008
